id;name;stars
7600409;shadowsocks/shadowsocks-windows;42579
11620669;CodeHubApp/CodeHub;21479
26295345;dotnet/corefx;17369
49609581;PowerShell/PowerShell;15656
15315789;Wox-launcher/Wox;14382
17620347;aspnet/AspNetCore;13718
69662720;mxgmn/WaveFunctionCollapse;12890
30092893;dotnet/coreclr;12040
29078997;dotnet/roslyn;11878
38380854;0xd4d/dnSpy;11644
1613345;StackExchange/Dapper;11285
70104825;dotnet-architecture/eShopOnContainers;11190
13428264;ShareX/ShareX;10800
54086969;thangchung/awesome-dotnet-core;9950
1327739;icsharpcode/ILSpy;8554
64713769;NickeManarin/ScreenToGif;8332
791611;mono/mono;8179
16157746;aspnet/EntityFrameworkCore;8082
2087064;SignalR/SignalR;7818
12201538;aspnetboilerplate/aspnetboilerplate;7376
3476845;JamesNK/Newtonsoft.Json;7226
30474266;MaterialDesignInXAML/MaterialDesignInXamlToolkit;7202
14964475;AvaloniaUI/Avalonia;7105
738250;NancyFx/Nancy;6895
102904613;Unity-Technologies/ml-agents;6731
959908;OpenRA/OpenRA;6708
374228;restsharp/RestSharp;6700
505380;AutoMapper/AutoMapper;6633
9864166;App-vNext/Polly;6485
132021166;dotnet/machinelearning;6390
1135454;cefsharp/CefSharp;6213
2584777;MahApps/MahApps.Metro;6199
1579990;MonoGame/MonoGame;6110
121637551;hoodiearon/w3-goto-world;6024
143460965;GoogleCloudPlatform/microservices-demo;5850
28239455;aspnet/AspNetCore.Docs;5832
126486701;Unity-Technologies/UnityCsReference;5795
28647218;chocolatey/choco;5788
15126429;aspnet/Mvc;5763
28232663;dotnet/orleans;5415
7560589;JeffreySu/WeiXinMPSDK;5401
46652227;IdentityServer/IdentityServer4;5077
11920542;HangfireIO/Hangfire;5066
142076747;microsoft/ailab;5021
118322286;felixse/FluentTerminal;4985
80058269;microsoft/VFSForGit;4890
715082;reactiveui/ReactiveUI;4861
75990888;dotnet/csharplang;4726
443962;JeremySkinner/FluentValidation;4701
1339922;ServiceStack/ServiceStack;4595
2465723;Sonarr/Sonarr;4584
104670977;dvf/blockchain;4503
12191244;dotnet/BenchmarkDotNet;4439
44897462;JustArchiNET/ArchiSteamFarm;4434
22636263;duplicati/duplicati;4355
956732;hbons/SparkleShare;4287
4213474;Humanizr/Humanizer;4266
23315232;mbdavid/LiteDB;4247
85953;gitextensions/gitextensions;4216
4600400;Redth/PushSharp;4156
62256097;ThreeMammals/Ocelot;4133
88064357;QL-Win/QuickLook;4072
5780416;NLog/NLog;4048
32051890;microsoft/msbuild;4024
17873382;sschmid/Entitas-CSharp;3921
18586705;nopSolutions/nopCommerce;3919
8835057;xupefei/Locale-Emulator;3892
12576526;dotnet/reactive;3857
13589461;opserver/Opserver;3821
153711945;dotnet/wpf;3810
46755185;bitwarden/server;3787
161012019;jellyfin/jellyfin;3765
17369361;jbogard/MediatR;3763
52097767;HJLebbink/asm-dude;3758
17748183;StackExchange/StackExchange.Redis;3740
17941520;neuecc/UniRx;3710
54213490;xamarin/Xamarin.Forms;3688
105649273;ElectronNET/Electron.NET;3684
21836148;OptiKey/OptiKey;3666
143253020;microsoft/FASTER;3665
20304390;HearthSim/Hearthstone-Deck-Tracker;3639
41032527;Nummer/Destroy-Windows-10-Spying;3621
98547658;shadowsocksr-backup/shadowsocksr-csharp;3615
38632468;graphql-dotnet/graphql-dotnet;3602
24504893;brandonlw/Psychson;3594
42749841;Live-Charts/Live-Charts;3552
3964514;accord-net/framework;3548
460848;mRemoteNG/mRemoteNG;3534
22456440;ppy/osu;3531
11591313;reactiveui/refit;3521
1208824;quartznet/quartznet;3449
5844474;EventStore/EventStore;3443
2419727;0xd4d/de4dot;3439
43568107;dotnet/cli;3378
15509440;akkadotnet/akka.net;3360
72174164;SixLabors/ImageSharp;3332
77323220;Radarr/Radarr;3306
83380995;dotnet-architecture/eShopOnWeb;3290
61403402;windows-toolkit/WindowsCommunityToolkit;3235
45195614;Jackett/Jackett;3221
31335300;PrismLibrary/Prism;3191
35291446;itinance/react-native-fs;3188
42753362;microsoft/VisualStudioUninstaller;3175
45365298;aspnet/JavaScriptServices;3172
997491;sta/websocket-sharp;3162
46080325;PKISharp/win-acme;3144
33200340;react-native-community/react-native-linear-gradient;3143
76445704;dotnetcore/CAP;3133
3689718;moq/moq4;3105
64753043;Perfare/AssetStudio;3102
153427475;Unity-Technologies/FPSSample;3102
30941532;intel/acat;3091
8198511;serilog/serilog;3031
26884725;OrchardCMS/OrchardCore;3028
500093;kohsuke/winsw;3023
22584823;TheBerkin/rant;3010
778834;Topshelf/Topshelf;3003
70460785;Unity-Technologies/PostProcessing;2999
35608694;aalhour/C-Sharp-Algorithms;2985
2870911;MvvmCross/MvvmCross;2981
19216825;xamarin/xamarin-forms-samples;2968
64290739;dodyg/practical-aspnetcore;2958
50605426;microsoft/MixedRealityToolkit-Unity;2953
23001353;dotnet-state-machine/stateless;2929
76425236;EduardoPires/EquinoxProject;2912
81283552;udacity/self-driving-car-sim;2891
56940351;ExtendRealityLtd/VRTK;2875
36613036;neo-project/neo;2874
388860;VsVim/VsVim;2842
14999623;jstedfast/MailKit;2840
96299354;dotnetcore/Util;2837
41822320;RicoSuter/NSwag;2830
70128945;Accelerider/BaiduPanDownloadWinform;2818
21696509;BearishSun/BansheeEngine;2815
106386177;Jimmey-Jiang/Common.Utility;2808
10501638;AngleSharp/AngleSharp;2793
125612271;Unity-Technologies/EntityComponentSystemSamples;2781
27251463;QuantConnect/Lean;2781
37357499;sublimehq/Packages;2755
16139210;autofac/Autofac;2732
79082378;migueldeicaza/TensorFlowSharp;2730
4933039;Fody/Fody;2729
10750139;domaindrivendev/Swashbuckle;2711
113807330;migueldeicaza/gui.cs;2709
78289422;ClusterM/hakchi2;2708
67071145;dotnet/standard;2704
10601208;umbraco/Umbraco-CMS;2702
35555089;KeenSoftwareHouse/SpaceEngineers;2651
21611723;quasar/QuasarRAT;2650
743436;egametang/ET;2647
69673033;ardalis/CleanArchitecture;2633
94545558;dotnetcore/surging;2611
20344662;aspnet/KestrelHttpServer;2598
70584079;JasonGT/NorthwindTraders;2598
96975695;JanKallman/EPPlus;2592
